Before TP,After TP,Across TP
0.5,0.0,0.75
1.0,0.5,0.62
0.67,0.0,0.25
0.0,0.1,0.08
0.3,0.19,0.29
0.33,0.33,0.44
0.4,1.0,0.33
0.67,0.26,0.17
0.4,0.33,0.21
0.27,0.17,0.2
0.43,0.0,0.21
0.36,0.33,0.25
0.17,0.07,0.12
0.17,0.13,0.0
0.0,0.0,0.1
0.0,0.0,0.12
0.0,0.14,0.04
0.0,0.09,0.07
0.0,0.09,0.0
0.0,0.05,0.0
0.46,0.24,0.18
0.06,0.0,0.22
1.0,0.31,0.1
1.0,0.3,0.08
1.0,0.33,0.33
1.0,0.31,0.09
1.0,0.31,0.09
1.0,0.28,0.11
1.0,0.31,0.1
1.0,0.31,0.1
1.0,0.3,0.2
0.0,0.67,0.17
1.0,0.0,0.25
0.5,0.3,0.35
0.0,1.0,0.33
0.0,0.22,0.23
1.0,0.33,0.17
1.0,0.23,0.15
0.14,1.0,0.21
0.24,0.33,0.29
0.33,1.0,0.17
1.0,0.43,0.29
