difference,Type
NaN,actual
1,actual
0.5,actual
NaN,actual
NaN,actual
NaN,actual
0.666666667,actual
NaN,actual
-0.904761905,actual
0,actual
0,actual
0,actual
0,actual
0.5,actual
NaN,actual
0.833333333,actual
1,actual
0,actual
0.866666667,actual
0.1,actual
1,actual
NaN,actual
1,actual
0.023809524,actual
NaN,actual
NaN,actual
NaN,actual
-0.736263736,actual
-0.244444444,actual
-0.252380952,actual
NaN,actual
0.285714286,actual
0.111111111,actual
NaN,actual
NaN,actual
NaN,actual
0,actual
0,actual
0,actual
NaN,actual
NaN,actual
0,actual
0,actual
0,actual
0,actual
0,actual
NaN,actual
0,actual
0,actual
0,actual
0.4,actual
NaN,actual
NaN,actual
NaN,actual
NaN,actual
NaN,actual
NaN,actual
NaN,actual
-1,actual
-1,actual
0.666666667,actual
0,actual
-0.523809524,actual
NaN,actual
0,actual
0,actual
0,actual
NaN,actual
-0.380734087,permuted
0.010157777,permuted
-0.124460397,permuted
NaN,permuted
NaN,permuted
NaN,permuted
-0.133056349,permuted
-0.049800073,permuted
-0.631192994,permuted
0.105492072,permuted
0.22478326,permuted
0.296576921,permuted
-0.463777001,permuted
0.630250748,permuted
0.076797733,permuted
0.381520554,permuted
0.541946245,permuted
0.519933115,permuted
-0.136144444,permuted
0.036243651,permuted
-0.119759823,permuted
NaN,permuted
-0.109445336,permuted
-0.111712105,permuted
-0.656218312,permuted
NaN,permuted
NaN,permuted
-0.534821245,permuted
-0.0633557,permuted
-0.273134398,permuted
-0.013251784,permuted
0.57219397,permuted
-0.254441067,permuted
-0.237474913,permuted
-0.021219136,permuted
-0.084363391,permuted
-0.656066132,permuted
-0.596270866,permuted
-0.204604619,permuted
-0.164759036,permuted
-0.055817933,permuted
-0.563872392,permuted
-0.495398429,permuted
-0.392980736,permuted
-0.503043001,permuted
-0.594109659,permuted
0.001584786,permuted
-0.26001356,permuted
-0.23319164,permuted
0.017932489,permuted
0.151129334,permuted
NaN,permuted
NaN,permuted
0.070534699,permuted
NaN,permuted
0.01255887,permuted
NaN,permuted
NaN,permuted
0.030479103,permuted
-0.387487781,permuted
-0.08102027,permuted
-0.393896757,permuted
0.746249566,permuted
-0.396836122,permuted
0.314129541,permuted
0.42979351,permuted
-0.333043415,permuted
0.482002535,permuted
